,user_supplied_name,submitted_name,data_source_title,score,matched_name2
62,Calliostoma ligatum,Calliostoma ligatum,GBIF Backbone Taxonomy,0.988,Calliostoma ligatum
63,Calliostoma spp,Calliostoma spp,GBIF Backbone Taxonomy,0.75,Calliostoma
64,Calliostoma supragranosum,Calliostoma supragranosum,GBIF Backbone Taxonomy,0.988,Calliostoma supragranosum
65,Callithamnion pikeanum,Callithamnion pikeanum,GBIF Backbone Taxonomy,0.988,Callithamnion pikeanum
66,Callithamnion rupicola,Callithamnion rupicola,GBIF Backbone Taxonomy,0.75,Callithamnion rupicolum
67,Callophyllis spp,Callophyllis spp,GBIF Backbone Taxonomy,0.75,Callophyllis
68,Callophyllis violacea,Callophyllis violacea,GBIF Backbone Taxonomy,0.988,Callophyllis violacea
69,Cancer antennarius,Cancer antennarius,GBIF Backbone Taxonomy,0.75,Cancer
70,Cancer branneri,Cancer branneri,GBIF Backbone Taxonomy,0.988,Cancer branneri
71,Cancer jordani,Cancer jordani,GBIF Backbone Taxonomy,0.988,Cancer jordani
72,Cancer oregonensis,Cancer oregonensis,GBIF Backbone Taxonomy,0.988,Cancer oregonensis
73,Cancer productus,Cancer productus,GBIF Backbone Taxonomy,0.988,Cancer productus
74,Cancer spp,Cancer spp,GBIF Backbone Taxonomy,0.75,Cancer
75,Cantharus gemmatus,Cantharus gemmatus,GBIF Backbone Taxonomy,0.75,Cantharus
76,Carpopeltis bushiae,Carpopeltis bushiae,GBIF Backbone Taxonomy,0.988,Carpopeltis bushiae
77,Caulacanthus ustulatus,Caulacanthus ustulatus,GBIF Backbone Taxonomy,0.988,Caulacanthus ustulatus
78,Cauloramphus echinus,Cauloramphus echinus,GBIF Backbone Taxonomy,0.988,Cauloramphus echinus
79,Ceramiaceae,Ceramiaceae,GBIF Backbone Taxonomy,0.75,Ceramiaceae
80,Ceramium spp,Ceramium spp,GBIF Backbone Taxonomy,0.75,Ceramium
81,Ceramium washingtoniense,Ceramium washingtoniense,GBIF Backbone Taxonomy,0.988,Ceramium washingtoniense
82,Ceratostoma foliatum,Ceratostoma foliatum,GBIF Backbone Taxonomy,0.988,Ceratostoma foliatum
83,Ceratostoma nuttalli,Ceratostoma nuttalli,GBIF Backbone Taxonomy,0.988,Ceratostoma nuttalli
84,Ceratostoma spp,Ceratostoma spp,GBIF Backbone Taxonomy,0.75,Ceratostoma
85,Cerithiopsis spp,Cerithiopsis spp,GBIF Backbone Taxonomy,0.75,Cerithiopsis
