"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Kelletia kelletii","Kelletia kellettii","of I. Oldroyd 1927",,
"Kelletia kelletii","Siphonalia kellettii","of Arnold 1903",,
"Neptunea tabulata","Chrysodomus tabulata","Baird 1863",,
"Neptunea tabulata","Chrysodomus bairdi","Dall 1909",,
"Busycotypus canaliculatus","Murex canaliculatus","Linnaeus 1758",,
"Aesopus eurytoideus","Truncaria eurytoides","Carpenter 1864",,
"Aesopus subturritus","Anachis subturrita","Carpenter 1866",,
"Aesopus subturritus","Anachis petravis","Dall 1908",,
"Alia carinata","Columbella carinata","Hinds 1844",,
"Alia carinata","Mitrella californica","(Gaskoin 1852)",,
"Alia carinata","Mitrella carinata","of McLean 1969",,
"Alia carinata","Nitidella carinata","of I. Oldroyd 1927",,
"Alia tuberosa","Amycla tuberosa","Carpenter 1864",,
"Alia tuberosa","Astyris tuberosa","of Keep 1888",,
"Alia tuberosa","Columbella tuberosa","of I. Oldroyd 1927",,
"Alia tuberosa","Columbella (Alia) tuberosa","of Dall 1921",,
"Alia tuberosa","Columbella (Astyris) tuberosa","of Williamson 1892",,
"Alia tuberosa","Columbella (Mitrella) tuberosa","of Tryon 1883",,
"Alia tuberosa","Mitrella tuberosa","of McLean 1969",,
"Amphissa reticulata","Amphissa versicolor var reticulata","Dall 1916",,
"Amphissa undata","Amycla undata","Carpenter 1864",,
"Amphissa undata","Amphissa ventricosa","Arnold 1903",,
"Amphissa undata","Columbella undata","of Tryon 1883",,
"Amphissa versicolor","Amphissa incisa","Dall 1916",,
"Amphissa versicolor","Amphissa lineata","Stearns 1872",,
"Astyris aurantiaca","Astyris clementensis","Bartsch 1927",,
"Astyris aurantiaca","Mitrella aurantiaca","of McLean 1969",,
"Astyris gausapata","Columbella gausapata","Gould 1850",,
"Astyris gausapata","Alia casciana","Dall 1919",,
"Astyris gausapata","Columbella dalli","E. A. Smith 1880",,
"Astyris gausapata","Mitrella gouldi","of Grant & Gale 1931",,
"Astyris gausapata","Nitidella gouldii","Carpenter in Gould & Carpenter 1857",,
"Astyris gausapata","Nitidella lutulenta","Dall 1919",,
"Astyris permodesta","Columbella permodesta","Dall 1890",,
"Astyris permodesta","Columbella (Astyris) permodesta","of I. Oldroyd 1927",,
"Astyris permodesta","Mitrella permodesta","of Abbott 1974",,
"Decipifus penicillata","? Anachis penicillata","Carpenter 1864",,
"Decipifus penicillata","Anachis (Chauvetia) penicillata","of Grant & Gale 1931",,
"Decipifus penicillata","Columbella (Anachis) penicillata","of Dall 1921",,
"Decipifus penicillata","Columbella (Seminella) penicillata","of Tryon 1883",,
"Decipifus penicillata","Nassarina penicillata","of McLean 1969",,
"Araiofusus araios","Fusinus barbarensis","of McLean 1996 in part not Trask 1855",,
"Araiofusus araios","Barbarofusus barbarensis","of SCAMIT Ed 11 in part",,
"Araiofusus eueides","Fusinus barbarensis","of McLean 1996 in part not Trask 1855",,
"Araiofusus eueides","Barbarofusus barbarensis","of SCAMIT Ed 11 in part",,
"Hesperaptyxis luteopictus","Fusus luteopictus","Dall 1877",,
"Hesperaptyxis luteopictus","Aptyxis luteopictus","of SCAMIT Ed 11",,
"Hesperaptyxis luteopictus","Fusinus (Aptyxis) luteopictus","of Abbott 1974",,
"Caesia delosi","Nassarius delosi","""Woodring in Woodring",,
"Caesia delosi","Schizopyga californica","of authors not Conrad 1856",,
"Caesia fossatus","Buccinum fossatum","Gould 1850",,
"Caesia fossatus","Alectrion (Schizopyga) fossatus","of I. Oldroyd 1927",,
"Caesia fossatus","Nassa fossata","of Keep 1888",,
"Caesia fossatus","Nassarius fossatus","of McLean 1978",,
"Caesia fossatus","Schizopyga fossata","of Dall 1921",,
"Caesia perpinguis","Nassa perpinguis","Hinds 1844",,
"Caesia perpinguis","Alectrion perpinguis","of Dall 1917",,
"Caesia perpinguis","Nassarius perpinguis","of McLean 1996",,
"Nassarius mendicus","Nassa mendica","Gould 1850",,
"Nassarius mendicus","Alectrion (Schizopyga) mendicus","of I. Oldroyd 1927",,
"Nassarius mendicus","Hima mendica","of SCAMIT Ed 10",,
"Nassarius mendicus","Nassarius cooperi","(Forbes 1852)",,
"Nassarius mendicus","Nassarius indisputabilis","(I. Oldroyd 1927)",,
"Nassarius tiarula","Nassa tiarula","Kiener 1841",,
"Nassarius tiarula","Alectrion tegula","of Jordan 1924",,
"Nassarius tiarula","Alectrion (Schizopyga) tegulus","of I. Oldroyd 1927",,
"Nassarius tiarula","Alectrion (Zeuxis) tegula","of Dall 1921",,
"Nassarius tiarula","Arcularia tiarula","of SCAMIT Ed 10",,
"Nassarius tiarula","Nassa tegula","Reeve 1853",,
"Nassarius tiarula","Nassarius tegula","of McLean 1969",,
"Tritia insculpta","Nassa insculpta","Carpenter 1864",,
"Tritia insculpta","Alectrion insculptus","of Dall 1917",,
"Tritia insculpta","Alectrion insculptusvar eupleura","Dall 1917",,
"Tritia insculpta","Alectrion (Schizopyga) insculptus","of I. Oldroyd 1927",,
"Tritia insculpta","Hinea insculpta","of SCAMIT Ed 10",,
"Tritia insculpta","Nassarius insculptus","of McLean 1996",,
"Tritia insculpta","Nassarius insculptus gordanus","Hertlein & Strong 1951",,
"Tritia insculpta","Zeuxis insculptus","of Dall 1921",,
"Babelomurex oldroydi","Latiaxis oldroydi","I. Oldroyd 1929",,
"Maxwellia gemma","Murex gemma","G. B. Sowerby II 1879",,
"Maxwellia santarosana","Murex (Phyllonotus) santarosana","Dall 1905",,
"Maxwellia santarosana","Murex (Murexiella) santarosanus","of Abbott 1974",,
"Maxwellia santarosana","Murexiella santarosana","of Keen 1971",,
"Acanthinucella punctulata","Monoceros punctulata","G. B. Sowerby I 1835",,
"Acanthinucella spirata","Purpura spirata","de Blainville 1832",,
"Acanthinucella spirata","Acanthina spirata","of McLean 1978",,
"Acanthinucella spirata","Monoceros engonatum","of Keep 1888",,
"Austrotrophon catalinensis","Trophon (Austrotrophon) catalinensis","I. Oldroyd 1927",,
"Austrotrophon catalinensis","Forreria (Austrotrophon) catalinensis","of Grant & Gale 1931",,
"Austrotrophon catalinensis","Trophon (Austrotrophon) cerrosensis catalinensis","of Abbott 1974",,
"Ceratostoma foliatum","Murex foliatus","Gmelin 1791",,
"Ceratostoma nuttalli","Murex (Cerostoma) nuttalli","Conrad 1837",,
"Ceratostoma nuttalli","Ceratostoma (Ceratostoma) nuttalli","of Abbott 1974",,
"Ceratostoma nuttalli","Purpura nuttallii albescens","Dall 1919",,
"Ceratostoma nuttalli","Purpura nuttallii albofasciata","Dall 1919",,
"Ceratostoma nuttalli","Purpura (Purpura) nuttalli","of Grant & Gale 1931",,
"Ceratostoma nuttalli","Pterynotus aciculiger","Valenciennes 1846",,
"Forreria belcheri","Murex belcheri","Hinds 1843",,
"Forreria belcheri","Chorus belcheri","of Arnold 1903",,
"Mexacanthina lugubris","Monoceros lugubris","G. B. Sowerby I 1822",,
"Mexacanthina lugubris","Acanthina lugubris","of authors NEP",,
"Mexacanthina lugubris","Acanthina tyrianthina","Berry 1957",,
"Nucella emarginata","Purpura emarginata","Deschayes 1839",,
"Nucella lamellosa","Buccinum lamellosa","Gmelin 1791",,
"Nucella lamellosa","Thais franciscana","Dall 1915",,
"Nucella lamellosa","Thais neptunea","Dall 1915",,
"Nucella lamellosa","Thais sitkana","Dall 1915",,
"Nucella ostrina","Purpura ostrina","Gould 1852",,
"Nucella ostrina","Thais emarginata var projecta","Dall 1915",,
"Ocinebrina barbarensis","Murex (Muricidea) barbarensis","Gabb 1865",,
"Ocinebrina barbarensis","Ocenebra barbarensis","of McLean 1978",,
"Ocinebrina barbarensis","Ocenebra crispatissima","Berry 1953",,
"Ocinebrina barbarensis","Tritonalia barbarensis","of Dall 1921",,
"Ocinebrina beta","Tritonalia interfossa beta","Dall 1919",,
"Ocinebrina beta","Ocenebra beta","of Abbott 1974",,
"Ocinebrina beta","Ocenebra keenae","Bormann 1946",,
"Ocinebrina foveolata","Murex foveolatus","Hinds 1844",,
"Ocinebrina foveolata","Ocenebra foveolata","of Radwin & D'Attilio 1976",,
"Ocinebrina foveolata","Tritonalia epiphanea","Dall 1919",,
"Ocinebrina foveolata","Tritonalia fusconotata","Dall 1919",,
"Ocinebrina foveolata","Trophon squamulifer","Carpenter in Gabb 1869",,
"Pteropurpura festiva","Murex festivus","Hinds 1844",,
"Pteropurpura festiva","Pteropurpura (Shaskyus) festiva","of Abbott 1974",,
"Pteropurpura festiva","Purpura (Jaton) festiva","of Grant & Gale 1931",,
"Pteropurpura festiva","Shaskyus festivus","of J. Burch & Campbell 1963",,
"Pteropurpura macroptera","Murex macropterus","Deshayes 1839",,
"Pteropurpura macroptera","Murex alba","Berry 1908",,
"Pteropurpura macroptera","Murex petri","Dall 1900",,
"Pteropurpura macroptera","Murex tremperi","Dall 1910",,
"Pteropurpura macroptera","Pteronotus carpenteri","Dall 1899",,
"Pteropurpura trialata","Murex trialatus","G. B. Sowerby II 1834",,
"Pteropurpura trialata","Alipurpura trialata","of Dall 1921",,
"Pteropurpura vokesae","Murex rhyssus","Dall 1919 not Tate 1888",,
"Roperia poulsoni","Ocenebra poulsoni","Carpenter 1864",,
"Roperia poulsoni","Fusus roperi","Dall 1898",,
"Stramonita biserialis","Purpura beserialis","Blainville 1832",,
"Stramonita biserialis","Purpura haematura","Valenciennes 1846",,
"Stramonita biserialis","Thais (Stramonita) biserialis","Keen 1971",,
"Boreotrophon bentleyi","Trophon (Neptunea) bentleyi","of I. Oldroyd 1927",,
"Boreotrophon eucymatus","Trophon (Neptunea) eucymatus","of I. Oldroyd 1927",,
"Boreotrophon multicostatus","Murex multicostatus","Eschscholtz 1829",,
"Scabrotrophon grovesi","Nipponotrophon scitulus","of Myers & D'Attilio 1980 in part  not (Dall 1891)",,
"Scabrotrophon grovesi","Trophon lasius","of Willett 1938 in part not (Dall 1919)",,
"Scabrotrophon maltzani","Trophon maltzani","Kobert & Knster 1878",,
"Scabrotrophon maltzani","Nipponotrophon lasius","of Radwin & D'Attilio 1976 not (Dall 1919)",,
"Scabrotrophon maltzani","Nipponotrophon maltzani","of Houart 1985",,
"Scabrotrophon maltzani","Nipponotrophon subserratus","of Roth 1981",,
"Scabrotrophon maltzani","Trophon subserratus","G. B. Sowerby II 1880",,
"Scabrotrophon maltzani","Trophon (Trophonopsis) lasius","of Willett 1938 in part not (Dall 1919)",,
"Scabrotrophon maltzani","Trophonopsis lasius","of Abbott 1974 in part not (Dall 1919)",,
"Volvarina taeniolata","Volvarina californica","Tomlin 1816",,
"Volvarina taeniolata","Volvarina parallela","Dall 1918",,
"Gibberula subtrigona","Marginella subtrigona","Carpenter 1864",,
"Gibberula subtrigona","Granula subtrigona","of authors NEP",,
"Gibberula subtrigona","Hyalina (Cystiscus) subtrigona","of Grant & Gale 1931",,
"Gibberula subtrigona","Persicula (Gibberula) subtrigona","of Abbott 1954",,
"Granulina margaritula","Marginella margaritula","Carpenter 1857",,
"Granulina margaritula","Cypraeolina margaritula","of I. Oldroyd 1927",,
"Granulina margaritula","Volutella pyriformis","Carpenter 1864",,
"Plesiocystiscus myrmecoon","Hyalina myrmecoon","Dall 1919",,
"Plesiocystiscus myrmecoon","Marginella (Hyalina) myrmecoon","of I. Odryoyd 1927",,
"Plesiocystiscus myrmecoon","Cystiscus myrmecoon","of Coan & Roth 1966",,
"Plesiocystiscus politulus","Hyalina politulus","Dall 1919",,
"Plesiocystiscus politulus","Cystiscus politulus","of McLean 1969",,
"Mitra idae","Mitra catalinae","Dall 1919",,
"Mitra idae","Mitra diegensis","Dall 1919",,
"Mitra idae","Mitra loweana","Dall 1903",,
"Mitra idae","Mitra montereyi","Berry 1920",,
"Mitra idae","Mitra semiusta","Berry 1957",,
"Callianax baetica","Olivella baetica","Carpenter 1857",,
"Callianax baetica","Olivella diegensis","T. Oldroyd 1921",,
"Callianax baetica","Olivella mexicana","T. Oldroyd 1921",,
"Callianax baetica","Olivella porteri","Dall 1910",,
"Callianax biplicata","Oliva biplicata","G. B. Sowerby I 1825",,
"Callianax biplicata","Olivella angelana","T. Oldroyd 1918",,
"Callianax biplicata","Olivella biplicata","of authors NEP",,
"Callianax biplicata","Olivella biplicata lapillus","Vanatta 1915",,
"Callianax biplicata","Olivella fucana","T. Oldroyd 1921",,
"Callianax biplicata","Olivella parva","T. Oldroyd 1921",,
"Callianax pycna","Olivella pycna","Berry 1935",,
"Callianax pycna","Olivella intorta","Carpenter 1857",,
"Callianax pycna","Olivella pedroana","of authors NEP not Conrad 1856",,
"Macron lividus","Pseudolivia livida","A. Adams 1855",,
"Californiconus californicus","Conus californicus","Hinds 1844",,
"Borsonella merriami","Drillia merriami","Arnold 1903",,
"Ophiodermella cancellata","Drillia cancellata","Carpenter 1864",,
"Ophiodermella cancellata","Clathrodrillia (Moniliopsis) rhines","of Dall 1921",,
"Ophiodermella cancellata","Moniliopsis cancellata","of Dall 1918",,
"Ophiodermella cancellata","Moniliopsis chacei","Berry 1941",,
"Ophiodermella cancellata","Moniliopsis rhines","of Dall 1919",,
"Ophiodermella cancellata","Surcula rhines","Dall 1908",,
"Ophiodermella fancherae","Mangilia fancherae","Dall 1903",,
"Ophiodermella fancherae","Moniliopsis incisa var fancherae","of Grant & Gale 1931",,
"Ophiodermella inermis","Pleurotoma inermis","Reeve 1843",,
"Ophiodermella inermis","Drillia incisa","Carpenter 1864",,
"Ophiodermella inermis","Ophiodermella montereyensis","Bartsch 1944",,
"Ophiodermella inermis","Ophiodermella ophioderma","of McLean 1978",,
"Ophiodermella inermis","Turris (Surcula) halcyonis","Dall 1908",,
"Suavodrillia kennicotti","Drillia kennicotti","Dall 1871",,
"Crockerella eriphyle","Mangilia eriphyle","Dall 1919",,
"Crockerella eriphyle","Mangelia eriphyle","of Abbott 1974",,
"Crockerella evadne","Mangilia evadne","Dall 1919",,
"Crockerella evadne","Spirotropis ? evadne","Grant & Gale 1931",,
"Crockerella lowei","Clathurella lowei","Dall 1903",,
"Crockerella lowei","Clathurella crystallina","of Abbott 1974 not Gabb 1865",,
"Crockerella lowei","Philbertia hesione","Dall 1919",,
"Mitromorpha gracilior","Daphnella gracilior","Tryon 1884",,
"Kurtzia arteaga","Mangelia arteaga","Dall & Bartsch 1910",,
"Kurtzia arteaga","Mangelia arteaga var roperi","Dall 1919",,
"Kurtzia arteaga","Kurtzia gordoni","Bartsch 1944",,
"Kurtziella plumbea","Mangelia plumbea","Hinds 1843",,
"Kurtziella plumbea","Mangelia alesidota","Dall 1919",,
"Kurtziella plumbea","Mangelia angulata","Carpenter 1864",,
"Kurtziella plumbea","Mangelia angulata var subangulata","Carpenter 1857",,
"Kurtziella plumbea","Mangelia barbarensis","I. Oldroyd 1924",,
"Kurtziella plumbea","Mangelia hebe","Dall 1919",,
"Kurtziella plumbea","Mangelia hecetae","Dall & Bartsch 1910",,
"Kurtziella plumbea","Mangelia oenoa","Dall 1919",,
"Kurtziella plumbea","Mangelia sulcata","Carpenter 1865",,
"Kurtziella plumbea","Mangelia tersa","Dall 1919",,
"Kurtziella plumbea","Mangelia wrighti","Jordan 1936",,
"Kurtziella plumbea","Mangeliidae sp HYP1","Phillips 1990 º",,
"Kurtzina beta","Mangelia (Kurtziella) beta","Dall 1919",,
"Kurtzina beta","Kurtziella (Kurtzina) beta","of McLean in Keen 1971",,
"Mangelia hexagona","Agathotoma quintinensis","of Dall 1925",,
"Mangelia hexagona","Cytharella hexagona","of I. Oldroyd 1927",,
"Mangelia hexagona","Cytharella (Agathotoma) quintinensis","Dall 1921",,
"Mangelia hexagona","Mangilia (Cythara) branneri","Arnold 1903",,
"Oenopota regulus","Lora regulus","Dall 1919",,
"Propebela turricula","Murex turricula","Montagu 1803",,
"Propebela turricula","Turridae sp SD1","Lilly 2004 º",,
"Daphnella clathrata","Daphnella sp SD1","Barwick 1998 º",,
"Elaeocyma empyrosia","Drillia empyrosia","Dall 1899",,
"Kylix halocydne","Elaecyma halocydne","Dall 1919",,
"Antiplanes catalinae","Pleurotoma (Antiplanes) catalinae","Raymond 1904",,
"Antiplanes catalinae","Antiplanes gabbi","Kantor & Sysoev 1991",,
"Antiplanes catalinae","Antiplanes major","Bartsch 1944",,
"Antiplanes catalinae","Antiplanes perversa","of I. Oldroyd 1927",,
"Antiplanes catalinae","Antiplanes voyi","of Abbott 1974 not Gabb 1866",,
"Antiplanes catalinae","Pleurotoma (Surcula) perversa","of Gabb 1855 not Philippi 1847",,
"Antiplanes thalea","Pleurotoma (Antiplanes) thalea","Dall 1902",,
"Antiplanes thalea","Antiplanes rotula","Dall 1921",,
"Antiplanes thalea","Antiplanes santarosana","Dall 1902",,
"Antiplanes thalea","Antiplanes (Rectiplanes) santarosana","of McLean 1971",,
"Antiplanes thalea","Antiplanes (Rectiplanes) willetti","Berry 1953",,
"Antiplanes thalea","Pleurotoma (Spirotropis) smithi","of Arnold 1903 not Forbes 1840",,
"Crassispira semiinflata","Pseudomelatoma penicillata var semiinflata","Grant & Gale 1931",,
"Crassispira semiinflata","Burchia redondoensis","of Bartsch 1944",,
"Crassispira semiinflata","Crassispira redondoensis","T. Burch 1938",,
"Megasurcula carpenteriana","Pleurotoma (Surcula) carpenteriana","Gabb 1865",,
"Megasurcula carpenteriana","Cryptoconus carpenteriana","of Dall 1921",,
"Megasurcula carpenteriana","Megasurcula granti","Bartsch 1944",,
"Megasurcula carpenteriana","Megasurcula tremperiana","Dall 1911",,
"Megasurcula carpenteriana","Pleurotoma (Surcula) tryoniana","Gabb 1866",,
"Megasurcula stearnsiana","Pleurotoma (Genota) stearnsiana","Raymond 1904",,
"Megasurcula stearnsiana","Cryptoconus stearnsiana","of Dall 1921",,
"Megasurcula stearnsiana","Megasurcula remondii","of authors NEP not Gabb 1866",,
"Pseudomelatoma penicillata","Drillia penicillata","Carpenter 1865",,
"Pseudomelatoma penicillata","Drillia moesta","Carpenter 1865",,
"Pseudotaranis strongi","Mangelia (Taranis) strongi","Arnold 1903",,
"Rhodopetoma renaudi","Drillia renaudi","Arnold 1903",,
"Terebra hemphilli","Terebra danai","Berry 1958",,
"Terebra pedroana","Terebra albocincta var pedroana","of Grant & Gale 1931",,
"Terebra pedroana","Terebra pedroana philippianum","of Dall 1925 not Deshayes 1859",,
"Terebra pedroana","Terebra simplex","of Arnold 1903",,
"Terebra pedroana","Terebra (Strioterebrum) pedroana","of I. Oldroyd 1927",,
"Cancellaria cooperii","Cancellaria (Narona) cooperii","Gabb 1865",,
"Cancellaria cooperii","Cancellaria (Progabbia) cooperi","of Dall 1921",,
"Cancellaria crawfordiana","Cancellaria ghiorum","Costa 1993",,
"Cancellaria crawfordiana","Cancellaria (Crawfordina) crawfordiana","of Abbott 1974",,
"Cancellaria crawfordiana","Cancellaria (Progabbia) crawfordiana","of I. Oldroyd 1927",,
"Admete californica","Cancellaria (Admete?) californica","Dall 1908",,
"Admete gracilior","Cancellaria gracilior","Carpenter 1869",,
"Admete gracilior","Admete couthouyi","of authors not Jay 1839",,
"Admete gracilior","Admete rhyssa","Dall 1919",,
"Admete gracilior","Admete seftoni","Berry 1956",,
"Admete gracilior","Admete woodworthi","Dall 1905",,
"Rictaxis painei","Actaeon (Rictaxis) painei","Dall 1903",,
"Rictaxis punctocaelatus","Tornatella punctocaelata","Carpenter 1864",,
"Rictaxis punctocaelatus","Acteon punctocaelatus vancouverensis","I. Oldroyd 1927",,
"Rictaxis punctocaelatus","Acteon (Rictaxis) punctocaelata","of Dall 1921",,
"Rictaxis punctocaelatus","Acteon (Rictaxis) punctocaelatus","of Grant & Gale 1931",,
"Rictaxis punctocaelatus","Rhextaxis punctocoelata","of Keep 1887",,
"Parvaplustrum cadieni","Cephalaspidea sp A","SCAMIT 1993 º",,
"Parvaplustrum cadieni","Parvaplustrum sp A","SCAMIT 1995 º",,
"Parvaplustrum cadieni","Parvamplustrum sp","of Gosliner 1996",,
"Parvaplustrum sp B","Meloscaphander sp A","SCAMIT 1995 º",,
"Murchisonella occidentalis","Eulimella occidentalis","Hemphill 1894",,
"Murchisonella occidentalis","Aclis occidentalis","of SCAMIT Ed 10",,
"Murchisonella occidentalis","Turbonille (Cingulina) evermanni","""Baker",,
"Aartsenia pupiformis","Odostomia pupiformis","Carpenter 1865",,
"Boonea oregonensis","Odostomia (Chrysallida) oregonensis","Dall & Bartsch 1907",,
"Chrysallida eucosmia","Odostomia eucosmia","Dall & Bartsch 1909",,
"Chrysallida helga","Odostomia (Chrysallida) helga","Dall & Bartsch 1909",,
"Ivara turricula","Odostomia (Ivara) turricula","Dall & Bartsch 1903",,
"Ividella navisa","Odostomia (Ividella) navisa","Dall & Bartsch 1907",,
"Odostomia astricta","Odostomia cooperi","Dall & Bartsch 1907",,
"Odostomia astricta","Odostomia lucca","Dall & Bartsch 1909",,
"Odostomia astricta","Odostomia monteryensis","Dall & Bartsch 1909",,
"Odostomia astricta","Odostomia oldroydi","Dall & Bartsch 1909",,
"Odostomia tenuisculpta","Odostomia amchitkana","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia baranoffensis","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia clesseni","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia deliciosa","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia hagemeisteri","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia jewetti","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia kadiakensis","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia obesa","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia phanea","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia santarosana","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia sitkaensis","Clessin 1900",,
"Odostomia tenuisculpta","Odostomia socorroensis","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia stephensae","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia straminea","Carpenter 1865",,
"Odostomia tenuisculpta","Odostomia tillamookensis","Dall & Bartsch 1907",,
"Odostomia tenuisculpta","Odostomia valdezi","Dall & Bartsch 1907",,
"Trabecula laxa","Odostomia laxa","Dall & Bartsch 1909",,
"Turbonilla chocolata","Chemnitzia chocolata","Carpenter 1864",,
"Turbonilla chocolata","Turbonilla halia","Dall & Bartsch 1909",,
"Turbonilla chocolata","Turbonilla keepi","Dall & Bartsch 1909",,
"Turbonilla chocolata","Turbonilla lowei","Dall & Bartsch 1908",,
"Turbonilla chocolata","Turbonilla sp L","of MBC 1981",,
"Turbonilla chocolata","Turbonilla sp O","of MBC 1982",,
"Turbonilla chocolata","Turbonilla sp SD2","Barwick 1995 º",,
"Turbonilla chocolata","Turbonilla sp LAH1","Phillips 2010 º",,
"Turbonilla chocolata","Turbonilla sp SMB1","Phillips 2001 º",,
"Turbonilla chocolata","Turbonilla sp SMB4","Phillips 2006 º",,
"Turbonilla laminata","Dunkeria laminata","Carpenter 1864",,
"Turbonilla laminata","Turbonilla sp HYP4","Phillips 1998 º",,
"Turbonilla laminata","Turbonilla ? andrewsi","MBC 2002",,
"Turbonilla laminata","Turbonilla sp F (?almo)","MBC 1992",,
"Turbonilla santarosana","Turbonilla sp SD1","Barwick 1995 º",,
"Turbonilla santarosana","Turbonilla sp HYP2","Phillips 1996 º",,
"Turbonilla signae","Turbonilla sp M","MBC 1979",,
"Turbonilla signae","Turbonilla (Pyrgiscus) sp HYP2","Phillips 2006 º",,
"Turbonilla tenuicula","Chemnitzia tenuicula","Gould 1853",,
"Turbonilla tenuicula","Turbonilla sp DC2","Phillips 2015 º",,
"Turbonilla tridentata","Chemnitzia tridentata","Carpenter 1864",,
"Turbonilla tridentata","Turbonilla sp DC1","Phillips 2016 º",,
"Turbonilla weldi","Turbonilla sp GOL1","Phillips 2014 º",,
"Turbonilla sp 2","Turbonilla sp HYP3","Phillips 1996 º",,
"Turbonilla sp 2","Turbonilla sp HYP8","Phillips 2011 º",,
"Turbonilla sp 3","Turbonilla (Pyrgiscus) sp HYP4","Phillips 2006 º",,
"Turbonilla sp 4","Turbonilla (Pyrgiscus) sp HYP3","Phillips 2005 º",,
"Turbonilla sp 5","Turbonilla sp OC1","Phillips 2012 º",,
"Turbonilla sp 6","Turbonilla sp HYP7","Phillips 2004 º",,
"Turbonilla sp 7","Turbonilla (Pyrgolampros) sp HYP1","Phillips 2004 º",,
"Turbonilla sp 8","Turbonilla sp SMB5","Phillips 2010 º",,
"Turbonilla sp 9","Turbonilla sp MONT2","Phillips 2014 º",,
"Turbonilla sp 10","Turbonilla sp MONT1","Phillips 2014 º",,
"Turbonilla sp 11","Turbonilla sp I","MBC 1971",,
"Turbonilla sp 12","Mormula sp 2","Phillips 2015 º",,
"Turbonilla sp 13","Turbonilla sp K","of MBC 1973",,
"Iselica obtusa","Isapis obtusa","Carpenter 1864",,
"Iselica ovoidea","Narica ovoidea","Gould 1853",,
"Iselica ovoidea","Isapis fenestrata","Carpenter 1864",,
"Iselica ovoidea","Iselica fenestrata","of McLean 1969",,
"Microglyphis brevicula","Actaeon (Microglyphis) breviculus","Dall 1902",,
"Aldisa sanguinea","Doris sanguinea","Cooper 1863",,
"Doris montereyensis","Archidoris montereyensis","of SCAMIT Ed 4",,
"Doris montereyensis","Archidoris nyctea","Bergh 1900",,
"Doris odhneri","Archidoris odhneri","MacFarland 1966",,
"Doris tanya","Sclerodoris tanya","Ev. Marcus 1971",,
"Cadlina limbaughorum","Cadlina limbaughi","Lance 1962",,
"Cadlina luteomarginata","Cadlina marginata","MacFarland 1905",,
"Cadlina sparsa","Juanella sparsa","Odhner 1921",,
"Felimare californiensis","Chromodoris californiensis","Bergh 1879",,
"Felimare californiensis","Hypselodoris californiensis","of SCAMIT Ed 7",,
"Felimare porterae","Chromodoris porterae","Cockerell 1901",,
"Felimare porterae","Mexichromis porterae","of SCAMIT Ed 7",,
"Felimida macfarlandi","Chromodoris macfarlandi","Cockerell 1901",,
"Atagema alba","Doridigitata alba","O'Donoghue 1927",,
"Atagema alba","Atagema quadrimaculata","Collier 1963",,
"Atagema alba","Petelodoris spongicola","MacFarland 1966",,
"Diaulula sandiegensis","Doris (Actinocyclus ?) sandiegensis","Cooper 1863",,
"Diaulula sandiegensis","Discodoris sandiegensis","of McDonald & Nybakken 1980",,
"Geitodoris heathi","Discodoris heathi","MacFarland 1905",,
"Peltodoris nobilis","Montereina nobilis","MacFarland 1905",,
"Peltodoris nobilis","Anisodoris nobilis","of SCAMIT Ed 4",,
"Dendrodoris nigromaculata","Doridopsis nigromaculata","Cockerell in Cockerell & Eliot 1905",,
"Dendrodoris nigromaculata","Dendrodoris behrensi","Millen & Bertsch 2005",,
"Dendrodoris nigromaculata","Dendrodoris sp 3","of Behrens 1991",,
"Doriopsilla albopunctata","Doris albopunctata","Cooper 1863",,
"Doriopsilla albopunctata","Doriopsis reticulata","Cockerell & Eliot 1905",,
"Doriopsilla davebehrensi","Doriopsilla albopunctata","""of Gosliner",,
"Doriopsilla fulva","Doriopsis fulva","MacFarland 1905",,
"Doriopsilla gemela","Dendrodoris sp 1","of Behrens 1991",,
"Doriopsilla rowena","Dendrodoris nigromaculata","of Behrens 1991 not (Cockerell in Cockerell & Eliot 1905)",,
"Doriopsilla rowena","Doriopsilla nigromaculata","of Behrens & Hermosillo 2005 not (Cockerell in Cockerell & Eliot 1905)",,
"Diaphorodoris lirulatocauda","Onchidoris hystricina","of authors NEP not (Bergh 1878)",,
"Corambe steinbergae","Doridella steinbergae","Lance 1962",,
"Loy thompsoni","Corambe thompsoni","Millen & Nybakken 1991",,
"Loy thompsoni","Corambe sp 1","Behrens 1991",,
"Loy thompsoni","Psammodoris thompsoni","of SCAMIT Ed 4",,
