"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Campanularia denticulata","Campanularia hincksi","Alder 1857",,
"Campanularia denticulata","Campanularia urceolata","S. F. Clark 1876",,
"Clytia paulensis","Campanularia paulensis","Vanh÷ffen 1910",,
"Clytia paulensis","Campanularia lngitheca","Fraser 1914",,
"Laomedea calceolifera","Campanularia calceolifera","Hincks 1871",,
"Laomedea calceolifera","Obelia sp A","MEC 1990 º",,
"Obelia geniculata","Sertularia geniculata","Linnaeus 1758",,
"Orthopyxis everta","Campanularia everta","S. F. Clark 1876",,
"Orthopyxis everta","Eucopella everta","of Fraser 1937",,
"Rhizocaulus verticillatus","Sertularia verticillata","Linnaeus 1758",,
"Rhizocaulus verticillatus","Campanularia verticillata","of Fraser 1937",,
"Rhizocaulus verticillatus","Verticillina verticillata","of Naumov 1960",,
"Calycella syringa","Sertularia syringa","Linnaeus 1767",,
"Calycella syringa","Calicella syringa","of Naumov 1969",,
"Egmundella gracilis","Oplorhiza gracilis","of authors NEP",,
"Egmundella polynema","Oplorhiza polynema","of SCAMIT Ed 11",,
"Halecium beanii","Thoa beanii","Johnston 1838",,
"Halecium delicatulum","Halecium flexile","Allman 1888",,
"Hincksella cylindricum","Sertularella cylindrica","Bale 1888",,
"Hincksella cylindricum","Synthecium cylindricum","of SCAMIT Ed 11",,
"Symplectoscyphus pedrensis","Sertularella pedrensis","Torrey 1904",,
"Symplectoscyphus pedrensis","Sertularella conica","of Torrey 1902 not Allman 1877",,
"Symplectoscyphus tricuspidatus","Sertularia tricuspidata","Alder 1856",,
"Symplectoscyphus tricuspidatus","Sertularella tricuspidata","of authors NEP",,
"Symplectoscyphus turgidus","Sertularia turgida","Trask 1857",,
"Plumalecium plumularioides","Halecium plumularioides","S. F. Clark 1876",,
"Plumalecium plumularioides","Kirchenpaueria plumularioides","of SCAMIT Ed 11",,
"Kirchenpaueria goodei","Plumularia goodei","Nutting 1900",,
"Pycnotheca mirabilis","Diplocheilus mirabilis","Allman 1883",,
"Aglaophenia struthionides","Plumularia struthionides","Murray 1860",,
"Aglaophenia sp A","Cladocarpus sp A","MEC 1990 º",,
"Plumularia setacea","Sertularia setacea","Linnaeus 1758",,
"Plumularia setacea","Plumularia corrugata","Nutting 1900",,
"Abietinaria expansa","Hebellopsis expansa","of authors NEP",,
"Abietinaria inconstans","Sertularia inconstans","S. F. Clark 1877",,
"Abietinaria traski","Sertularia traski","Torrey 1902",,
"Amphisbetia furcata","Sertularia furcata","Trask 1857",,
"Dynamena disticha","Portusaia disticha","Bosc 1802",,
"Dynamena disticha","Salacia cornicina","of SCAMIT Ed 11",,
"Dynamena pumila","Sertularia pumila","Linnaeus 1758",,
"Thuiaria cylindrica","Selaginopsis cylindrica","of SCAMIT Ed 11",,
"Sertularella rugosa","Sertularia rugosa","Linnaeus 1758",,
"Sertularella tenella","Sertularia tenella","Alder 1857",,
"Monobrachium parasitum","Monobrachium parasiticum","Bonnevie 1899",,
"Telesto californica","Telesto rigida","of Nutting 1909 non Wright & Studer 1889",,
"Adelogorgia phyllosclera","Adelogorgia sp A","Ljubenkov 1994 º",,
"Leptogorgia chilensis","Lophogorgia chilensis","of authors NEP",,
"Chromoplexaura marki","Euplexaura marki","Knkenthal 1913",,
"Chromoplexaura marki","Leptogorgia caryi","of SCAMIT Ed 11",,
"Swiftia kofoidi","Stenogorgia kofoidi","Nutting 1909",,
"Parastenella ramosa","Stenella ramosa","Studer 1894",,
"Parastenella ramosa","Parastenella doederleini","of SCAMIT Ed 5 not (Wright & Studer 1889)",,
"Renilla koellikeri","Renilla amethystina","Verrill 1864",,
"Umbellula magniflora","Umbellula loma","Nutting 1909",,
"Anthoptilum grandiflorum","Virgularia grandiflora","Verrill 1879",,
"Anthoptilum grandiflorum","Anthoptilum murrayi","of Nutting 1912 not K÷lliker 1889",,
"Anthoptilum grandiflorum","Anthoptilum thomsoni","K÷lliker 1881",,
"Anthoptilum grandiflorum","Virgularia sp B","Ljubenkov 2011 º",,
"Halipteris californica","Pavonaria californica","Moroff 1902",,
"Halipteris californica","Balticina pacifica","Nutting 1909",,
"Halipteris californica","Halipteris contorta","Nutting 1909",,
"Halipteris californica","Stachyptilum quadridentatum","Nutting 1909",,
"Stylatula elongata","Virgularia elongata","Gabb 1863",,
"Stylatula elongata","Stylatula columbiana","Verrill 1922",,
"Stylatula elongata","Stylatula elongata","Verrill 1864",,
"Stylatula elongata","Stylatula ringei","Pfeffer 1886",,
"Virgularia agassizii","Halisceptrum cystiferum","Nutting 1909",,
"Virgularia agassizii","Virgularia bromleyi","of authors NEP not K÷lliker 1880",,
"Virgularia agassizii","Virgularia sp A","Ljubenkov 1991 º",,
"Virgularia agassizii","Virgularia tuberculata","of authors NEP not Marshall 1877",,
"Virgularia californica","Virgularia galapagensis","of Ricketts et al 1968 not Hickson 1930",,
"Virgularia californica","Virgularia reinwardti","of Kukenthal 1915 not Herklots 1858",,
"Pennatula phosphorea","Pennatula aculeata","of Nutting 1909 not Danielssen 1858",,
"Pennatula phosphorea","Pennatula californica","of SCAMIT Ed 8",,
"Pennatula phosphorea","Pennatula phosphorea var californica","Knkenthal 1913",,
"Ptilosarcus gurneyi","Sarcoptilus gurneyi","J. E. Gray 1860",,
"Ptilosarcus gurneyi","Leioptilum quadrangulare","of Knkenthal 1913",,
"Ptilosarcus gurneyi","Lioptilum verrilli","Pfeffer 1886",,
"Ptilosarcus gurneyi","Leioptilus gurneyi","of Ricketts et al 1968",,
"Ptilosarcus gurneyi","Penatula tenua","Gould 1853",,
"Ptilosarcus gurneyi","Ptilosarcus quadrangularis","Moroff 1902",,
"Ptilosarcus gurneyi","Sarcoptilus sinuosus","J. E. Gray 1860",,
"Isarachnanthus nocturnus","Arachnanthus nocturnus","den Hartog 1977",,
"Pachycerianthus fimbriatus","Pachycerianthus torreyi","Arai 1965",,
"Astrangia haimei","Astrangia lajollaensis","Durham 1947",,
"Desmophyllum dianthus","Madrepora dianthus","Esper 1794",,
"Desmophyllum dianthus","Desmophyllum cristagalli","H. Milne Edwards & Haime 1848",,
"Desmophyllum pertusum","Madrepora pertusa","Linnaeus 1758",,
"Desmophyllum pertusum","Dendrosmilia nomlandi","Durham & Barnard 1952",,
"Desmophyllum pertusum","Lophelia californica","Durham 1947",,
"Desmophyllum pertusum","Lophelia pertusa","of SCAMIT Ed 11",,
"Desmophyllum pertusum","Lophelia prolifera","of Cairns 1979",,
"Desmophyllum pertusum","Madrepora prolifera","Pallas 1766",,
"Paracyathus stearnsii","Paracyathus caltha","Verrill 1869",,
"Paracyathus stearnsii","Paracyathus tiburonensis","Durham 1947",,
"Edwardsia californica","Edwardsia (Edwardsiella) californica","McMurrich 1903",,
"Edwardsia juliae","Edwardsia sipunculoides","of authors NEP not (Stimpson 1853)",,
"Edwardsia juliae","Edwardsia sp G","MEC 1992 º",,
"Edwardsia olguini","Isoedwardsia sp A","Ljubenkov 1980 º in part",,
"Edwardsia olguini","Isoedwardsia sp B","Ljubenkov 1980 º in part",,
"Edwardsia olguini","Scolanthus sp A","SCAMIT 1983 º in part",,
"Edwardsia profunda","Edwardsia sp A","SCAMIT 1983 º",,
"Nematostella vectensis","Drillactis sp","of authors SCB",,
"Scolanthus scamiti","Scolanthus sp B","MEC 1992 º",,
"Scolanthus triangulus","Isoedwardsia sp A","Ljubenkov 1980 º in part",,
"Scolanthus triangulus","Isoedwardsia sp B","Ljubenkov 1980 º in part",,
"Scolanthus triangulus","Scolanthus sp A","SCAMIT 1983 º in part",,
"Halcampa decemtentaculata","Anemone #99","of Ljubenkov 1986",,
"Halcampa decemtentaculata","Anthozoa #87","Ljubenkov 1984 º",,
"Halcampa decemtentaculata","Anthozoa #92","Ljubenkov 1984 º",,
"Halcampa decemtentaculata","Athenaria sp A","SCAMIT 1989 º",,
"Halcampa decemtentaculata","Halcampidae sp A","SCAMIT 1989 º",,
"Halianthella sp A","Anemone #46","of Ljubenkov 1983",,
