FinalID,tax_rank,phylum,class,order,family,genus,BOLD_Records,BOLD_Records_USA,BOLD_Records_CA,BOLD_Records_COI,BOLD_Records_COI_USA,BOLD_Records_COI_CA,BOLD_Records_COI_SW
Mediomastus,genus,Annelida,Polychaeta,NA,Capitellidae,Mediomastus,42,12,0,36,8,0,0
Megabalanus californicus,species,Arthropoda,Thecostraca,Sessilia,Balanidae,Megabalanus,1,1,1,0,0,0,0
Megamoera subtener,species,Arthropoda,Malacostraca,Amphipoda,Melitidae,Megamoera,5,1,0,5,1,0,0
Megastraea undosa,species,Mollusca,Gastropoda,Trochida,Turbinidae,Megastraea,10,9,9,10,9,9,9
Megasurcula,genus,Mollusca,Gastropoda,Neogastropoda,Pseudomelatomidae,Megasurcula,1,1,1,0,0,0,0
Megasurcula carpenteriana,species,Mollusca,Gastropoda,Neogastropoda,Pseudomelatomidae,Megasurcula,1,1,1,0,0,0,0
Megasyllis nipponica,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Megasyllis,2,0,0,2,0,0,0
Melampus olivaceus,species,Mollusca,Gastropoda,Ellobiida,Ellobiidae,Melampus,1,1,1,1,1,1,1
Melanochlamys diomedea,species,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Melanochlamys,2,2,0,2,2,0,0
Melinna,genus,Annelida,Polychaeta,Terebellida,Ampharetidae,Melinna,16,5,3,15,4,2,2
Melinna heterodonta,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Melinna,2,2,1,2,2,1,1
Melinna oculata,species,Annelida,Polychaeta,Terebellida,Ampharetidae,Melinna,3,3,2,2,2,1,1
Mendicula ferruginosa,species,Mollusca,Bivalvia,Lucinida,Thyasiridae,Mendicula,4,0,0,4,0,0,0
Merona,genus,Cnidaria,Hydrozoa,Anthoathecata,Oceaniidae,Merona,1,0,0,1,0,0,0
Mesocentrotus franciscanus,species,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,112,78,2,103,78,2,2
Mesochaetopterus,genus,Annelida,Polychaeta,NA,Chaetopteridae,Mesochaetopterus,8,2,0,8,2,0,0
Mesocrangon munitella,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Mesocrangon,3,3,0,3,3,0,0
Metacarcinus anthonyi,species,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,9,8,8,9,8,8,8
Metacarcinus gracilis,species,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,23,3,1,13,3,1,1
Metaphoxus frequens,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Metatiron tropakis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Microcosmus squamiger,species,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Microcosmus,339,2,0,339,2,0,0
Microjassa,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Microjassa barnardi,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Microphthalmus,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Micropleustes nautilus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Micropodarke dubia,species,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,16,6,0,15,6,0,0
Micrura,genus,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Micrura,174,67,0,130,63,0,0
Micrura wilsoni,species,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Micrura,4,4,0,4,4,0,0
Modiolus,genus,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,433,57,0,428,56,0,0
Modiolus sacculifer,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Molgula,genus,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,10,0,0,4,0,0,0
Molgula manhattensis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Molgula pugetiensis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Molpadia arenicola,species,Echinodermata,Holothuroidea,Molpadida,Molpadiidae,Molpadia,1,1,1,1,1,1,1
Molpadia intermedia,species,Echinodermata,Holothuroidea,Molpadida,Molpadiidae,Molpadia,11,0,0,10,0,0,0
Monobrachium parasitum,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Monocorophium,genus,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,7,0,0,7,0,0,0
Monocorophium acherusicum,species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,2,0,0,2,0,0,0
Monocorophium insidiosum,species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,8,0,0,8,0,0,0
Monocorophium uenoi,species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,1,1,0,1,1,0,0
Monoculodes,genus,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Monoculodes,54,4,3,34,1,0,0
Monoculodes emarginatus,species,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Monoculodes,3,3,3,0,0,0,0
