ProjectShortCode,taxserial,CommonName,SCINAME,Kingdom,Class,Phylum,Family,Order,Genus,Species
NC_ROV,98672,Red rock crab,Cancer productus,Animalia,Malacostraca,Arthropoda,Cancridae,Decapoda,Cancer,productus
NC_ROV,98675,Dungeness crab,Metacarcinus magister,Animalia,Malacostraca,Arthropoda,Cancridae,Decapoda,Metacarcinus,magister
NC_ROV,155760,Northern staghorn bryozoan,Heteropora pacifica,Animalia,Stenolaemata,Bryozoa,Heteroporidae,Cyclostomatida,Heteropora,pacifica
NC_ROV,156866,Sand star ,Luidia foliolata ,Animalia,Asteroidea,Echinodermata,Luidiidae,Paxillosida,Luidia,foliolata
NC_ROV,156992,Cookie star,Ceramaster patagonicus,Animalia,Malacostraca,Arthropoda,Cancridae,Decapoda,Ceramaster,patagonicus
NC_ROV,157007,Spiny red star,Hippasteria spinosa,Animalia,Asteroidea,Echinodermata,Goniasteridae,Valvatida,Hippasteria,spinosa
NC_ROV,157011,Red sea star,Mediaster aequalis,Animalia,Asteroidea,Echinodermata,Goniasteridae,Valvatida,Mediaster,aequalis
NC_ROV,157066,Rose star,Crossaster papposus,Animalia,Asteroidea,Echinodermata,Solasteridae,Velatida,Crossaster,papposus
NC_ROV,157070,Crested sea star,Lophaster furcilliger,Animalia,Asteroidea,Echinodermata,Solasteridae,Velatida,Lophaster,furcilliger
NC_ROV,157075,Dawson's sun star,Solaster dawsoni,Animalia,Asteroidea,Echinodermata,Solasteridae,Velatida,Solaster,dawsoni
NC_ROV,157078,Stimpson's sun star,Solaster stimpsoni,Animalia,Asteroidea,Echinodermata,Solasteridae,Velatida,Solaster,stimpsoni
NC_ROV,157113,Cushion star,Pteraster tesselatus,Animalia,Asteroidea,Echinodermata,Pterasteridae,Velatida,Pteraster,tesselatus
NC_ROV,157122,Bat star,Asterina miniata,Animalia,Asteroidea,Echinodermata,Asterinidae,Valvatida,Asterina,miniata
NC_ROV,157139,Leather star,Dermasterias imbricata,Animalia,Asteroidea,Echinodermata,Asteropseidae,Valvatida,Dermasterias,imbricata
NC_ROV,157152,Henricia complex,Henricia sp.,Animalia,Asteroidea,Echinodermata,Spinulosida,Spinulosida,Henricia,NA
NC_ROV,157176,Thorny sea star,Poraniopsis inflata,Animalia,Asteroidea,Echinodermata,Poraniidae,Valvatida,Poraniopsis,inflata
NC_ROV,157251,Pisaster complex,Pisaster sp.,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Pisaster,NA
NC_ROV,157252,Short spined sea star,Pisaster brevispinus,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Pisaster,brevispinus
NC_ROV,157253,Ochre star,Pisaster ochraceus,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Pisaster,ochraceus
