NC_project_short_code,final_classification,preliminary_classification,class_code,kingdom,phylum_division,class,order,family,genus,species
NC_RockyIt,acanthinucella spp,acanthinucella spp,5,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,spp
NC_RockyIt,acarnus erithacus,sponge,6,Animalia,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Acarnus,erithacus
NC_RockyIt,acarnus erithacus,acarnus erithacus,6,Animalia,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Acarnus,erithacus
NC_RockyIt,acmaea mitra,acmaea mitra,7,Animalia,Mollusca,Gastropoda,,Acmaeidae,Acmaea,mitra
NC_RockyIt,acmaea mitra,acmaea mitra,7,Animalia,Mollusca,Gastropoda,,Acmaeidae,Acmaea,mitra
NC_RockyIt,acrosiphonia spp,acrosiphonia coalita,8,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
NC_RockyIt,acrosiphonia spp,acrosiphonia saxitalis,9,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
NC_RockyIt,acrosiphonia spp,acrosiphonia spp,10,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
NC_RockyIt,acrosiphonia spp,acrosiphonia spp,10,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
NC_RockyIt,acrosiphonia spp,acrosiphonia spp,10,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spp
NC_RockyIt,acrosiphonia/cladophora spp,acrosiphonia/cladophora spp,11,Plantae,Chlorophyta,Ulvophyceae,,,acrosiphonia/cladophora,spp
NC_RockyIt,acrosorium ciliolatum,acrosorium ciliolatum,12,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
NC_RockyIt,acrosorium ciliolatum,acrosorium ciliolatum,12,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
NC_RockyIt,acrosorium ciliolatum,acrosorium unicatum,13,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,ciliolatum
NC_RockyIt,adula/lithophaga spp,adula/lithophaga spp,14,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,adula/lithophaga,spp
NC_RockyIt,aeolidia papillosa,aeolidia papillosa,15,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,papillosa
NC_RockyIt,agalophenia spp,aglaophenia latirostris,16,,,,,,,
NC_RockyIt,ahnfeltia fastigiata,ahnfeltia fastigiata,18,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,fastigiata
NC_RockyIt,ahnfeltia fastigiata,ahnfeltia fastigiata,18,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,fastigiata
NC_RockyIt,ahnfeltia fastigiata,ahnfeltia plicata,19,Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,fastigiata
NC_RockyIt,ahnfeltiopsis/ahnfeltia spp,ahnfeltia spp,20,Plantae,Rhodophyta,Florideophyceae,,,,spp
NC_RockyIt,ahnfeltiopsis/ahnfeltia spp,ahnfeltia spp,20,Plantae,Rhodophyta,Florideophyceae,,,,spp
NC_RockyIt,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,21,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,21,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,21,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,21,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,21,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis leptophylla,ahnfeltiopsis leptophylla,21,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis leptophylla,gymnogongrus leptophyllus,22,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis leptophylla,ahnfeltiopsis/gymnogongrus spp,23,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,leptophylla
NC_RockyIt,ahnfeltiopsis linearis,gymnogongrus linearis,24,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Ahnfeltiopsis,linearis
NC_RockyIt,alaria marginata,alaria marginata,25,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,marginata
NC_RockyIt,alaria nana,alaria nana,26,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,nana
NC_RockyIt,alia spp,alia spp,27,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,spp
NC_RockyIt,alia spp,alia spp,27,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,spp
NC_RockyIt,alia spp,mitrella carinata,28,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Alia,spp
NC_RockyIt,amphipholis squamata,amphipholis squamata,29,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphipholis,squamata
NC_RockyIt,amphiroa beauvoisii,amphiroa beauvoisii,30,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,beauvoisii
NC_RockyIt,amphiroa beauvoisii,amphiroa beauvoisii,30,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,beauvoisii
NC_RockyIt,amphiroa beauvoisii,amphiroa zonata,31,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,beauvoisii
NC_RockyIt,amphissa columbiana,amphissa columbiana,32,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,columbiana
NC_RockyIt,amphissa spp,amphissa spp,33,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,spp
NC_RockyIt,amphissa spp,amphissa spp,33,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,spp
NC_RockyIt,amphissa versicolor,amphissa versicolor,34,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,versicolor
NC_RockyIt,analipus japonicus,analipus japonicus,35,Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,Analipus,japonicus
NC_RockyIt,anisodoris nobilis,anisodoris nobilis,36,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Anisodoris,nobilis
NC_RockyIt,anthopleura artemisia,anthopleura artemisia,37,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia
NC_RockyIt,anthopleura artemisia,anthopleura artemisia,37,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia
NC_RockyIt,anthopleura artemisia,anthopleura artemisia,37,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia
NC_RockyIt,anthopleura elegantissima,anthopleura elegantissima,38,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,elegantissima
NC_RockyIt,anthopleura elegantissima,anthopleura elegantissima,38,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,elegantissima
NC_RockyIt,anthopleura elegantissima,anthopleura elegantissima,38,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,elegantissima
NC_RockyIt,anthopleura sola,anthopleura sola,39,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,sola
NC_RockyIt,anthopleura spp,anthopleura spp,40,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,spp
NC_RockyIt,anthopleura xanthogrammica,anthopleura xanthogrammica,41,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,xanthogrammica
NC_RockyIt,antithamnionella spp,antithamnionella pacifica,42,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,spp
NC_RockyIt,antithamnionella spp,antithamnionella pacifica,43,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,spp
NC_RockyIt,antithamnionella spp,antithamnionella pacifica,43,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,spp
NC_RockyIt,antithamnionella spp,antithamnionella spp,43,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,spp
NC_RockyIt,aplidium arenatum/propinquum,aplidium arenatum/propinquum,44,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,arenatum/propinquum
NC_RockyIt,aplidium arenatum/propinquum,aplidium arenatum/propinquum,44,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,arenatum/propinquum
NC_RockyIt,aplidium arenatum/propinquum,aplidium arenatum/propinquum,44,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,arenatum/propinquum
NC_RockyIt,aplidium arenatum/propinquum,aplidium arenatum/propinquum,44,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,arenatum/propinquum
NC_RockyIt,aplidium arenatum/propinquum,aplidium propinquum,45,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,arenatum/propinquum
